epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,362.067,1.64174,1.11887,1.34653,0.40419,0.34722,0.31158,0.11903,2.14373,1.54141,1.72586,0.000940625,0.000940625,0.000940625
102,365.531,1.65421,1.10231,1.31934,0.38534,0.3715,0.31021,0.11906,2.15576,1.64131,1.71384,0.000937531,0.000937531,0.000937531
103,369.163,1.60256,1.11844,1.32519,0.33869,0.37122,0.29364,0.12002,2.07102,1.6978,1.70965,0.000934438,0.000934438,0.000934438
104,372.655,1.57546,1.09128,1.31957,0.34762,0.38812,0.30166,0.1192,2.05135,1.57517,1.67017,0.000931344,0.000931344,0.000931344
105,376.187,1.62266,1.10298,1.32335,0.4265,0.3435,0.295,0.1142,2.08898,1.55941,1.69184,0.00092825,0.00092825,0.00092825
106,379.59,1.55819,1.06921,1.31562,0.4463,0.33111,0.29521,0.11378,2.1151,1.61277,1.73076,0.000925156,0.000925156,0.000925156
107,383.036,1.5856,1.06586,1.30158,0.39869,0.33879,0.30705,0.11782,2.15784,1.63598,1.75496,0.000922063,0.000922063,0.000922063
108,386.631,1.56949,1.06311,1.29546,0.39738,0.34452,0.30223,0.11725,2.14233,1.6427,1.72768,0.000918969,0.000918969,0.000918969
109,390.041,1.6116,1.08253,1.32416,0.41336,0.37794,0.33456,0.12636,2.09477,1.60603,1.71142,0.000915875,0.000915875,0.000915875
110,393.548,1.5691,1.06235,1.30749,0.41745,0.31993,0.29848,0.12041,2.18748,1.63769,1.76809,0.000912781,0.000912781,0.000912781
111,397.037,1.56939,1.05451,1.3035,0.47812,0.28751,0.30693,0.1256,2.15846,1.69168,1.73338,0.000909688,0.000909688,0.000909688
112,400.536,1.57213,1.04998,1.30769,0.37132,0.36196,0.28973,0.11359,2.1845,1.60753,1.73737,0.000906594,0.000906594,0.000906594
113,404.093,1.5758,1.07575,1.29862,0.3977,0.34728,0.28761,0.11562,2.17952,1.63412,1.74285,0.0009035,0.0009035,0.0009035
114,407.588,1.56186,1.05051,1.29332,0.36651,0.42239,0.3318,0.12455,2.12469,1.49862,1.7118,0.000900406,0.000900406,0.000900406
115,411.134,1.56631,1.05231,1.29543,0.34798,0.38315,0.31747,0.11915,2.16992,1.54823,1.73032,0.000897313,0.000897313,0.000897313
116,414.459,1.55937,1.03735,1.2977,0.35052,0.30709,0.28382,0.10564,2.13907,1.52119,1.71634,0.000894219,0.000894219,0.000894219
117,417.994,1.56104,1.03234,1.29993,0.34435,0.29816,0.2774,0.11213,2.11613,1.52515,1.72168,0.000891125,0.000891125,0.000891125
118,421.495,1.55623,1.04211,1.27259,0.40987,0.33438,0.30326,0.10922,2.14653,1.59645,1.72629,0.000888031,0.000888031,0.000888031
119,425.12,1.53967,1.00756,1.26812,0.54225,0.28152,0.29009,0.10509,2.21018,1.65108,1.7507,0.000884938,0.000884938,0.000884938
120,428.563,1.52726,1.0089,1.26662,0.38641,0.28143,0.27806,0.10581,2.17786,1.65195,1.76179,0.000881844,0.000881844,0.000881844
121,432.051,1.55316,1.00004,1.25909,0.30417,0.24763,0.25774,0.09345,2.26377,1.77883,1.82156,0.00087875,0.00087875,0.00087875
122,435.593,1.52142,0.98502,1.24807,0.33338,0.30967,0.26306,0.0943,2.26469,1.68176,1.80797,0.000875656,0.000875656,0.000875656
123,439.18,1.54741,0.99257,1.25636,0.37944,0.35407,0.3226,0.11796,2.20254,1.60886,1.75013,0.000872563,0.000872563,0.000872563
124,442.658,1.49705,0.99328,1.26774,0.38319,0.36349,0.30354,0.1174,2.24088,1.63709,1.78113,0.000869469,0.000869469,0.000869469
125,446.001,1.51863,0.98505,1.25829,0.36526,0.40101,0.32987,0.1186,2.21577,1.60067,1.76641,0.000866375,0.000866375,0.000866375
126,449.616,1.50477,1.0055,1.27417,0.36278,0.40935,0.33327,0.12157,2.17359,1.54879,1.73686,0.000863281,0.000863281,0.000863281
127,453.15,1.57048,1.00077,1.27085,0.40005,0.32566,0.31406,0.11899,2.14448,1.54182,1.71373,0.000860188,0.000860188,0.000860188
128,456.657,1.49605,0.97799,1.23909,0.44509,0.34331,0.34201,0.1283,2.16133,1.58068,1.72407,0.000857094,0.000857094,0.000857094
129,460.183,1.52182,0.9974,1.26312,0.42086,0.37549,0.33972,0.12324,2.2069,1.58432,1.77025,0.000854,0.000854,0.000854
130,463.647,1.49182,0.95488,1.25909,0.34369,0.35741,0.29522,0.10996,2.17774,1.54595,1.77074,0.000850906,0.000850906,0.000850906
131,467.139,1.52367,0.9821,1.26434,0.37748,0.43917,0.36884,0.12176,2.22681,1.59832,1.79626,0.000847813,0.000847813,0.000847813
132,470.734,1.4845,0.94965,1.24111,0.40897,0.31082,0.29622,0.11534,2.26636,1.73347,1.82987,0.000844719,0.000844719,0.000844719
133,474.097,1.48737,0.95146,1.24183,0.38465,0.34356,0.30233,0.11177,2.23078,1.72675,1.81805,0.000841625,0.000841625,0.000841625
134,477.586,1.48064,0.95408,1.2405,0.43125,0.31041,0.32131,0.12437,2.18392,1.65562,1.79577,0.000838531,0.000838531,0.000838531
135,481.156,1.51324,0.96013,1.24661,0.36468,0.36226,0.3002,0.11278,2.20384,1.62376,1.80152,0.000835438,0.000835438,0.000835438
136,484.667,1.45422,0.93112,1.2421,0.39562,0.34271,0.30243,0.10903,2.22467,1.72387,1.78492,0.000832344,0.000832344,0.000832344
