epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,264.129,1.73722,1.25344,1.40705,0.46084,0.31745,0.32744,0.13236,2.12893,1.69443,1.71065,0.00103653,0.00103653,0.00103653
71,267.709,1.74162,1.28251,1.41711,0.48075,0.29765,0.31232,0.12101,2.06488,1.61989,1.66801,0.00103344,0.00103344,0.00103344
72,271.369,1.73439,1.31269,1.42322,0.51975,0.31372,0.32455,0.13585,2.05412,1.60739,1.66196,0.00103034,0.00103034,0.00103034
73,275.044,1.72894,1.26932,1.39918,0.43053,0.34863,0.32386,0.12706,2.03994,1.53056,1.68458,0.00102725,0.00102725,0.00102725
74,278.784,1.73748,1.26035,1.42088,0.39559,0.30809,0.3044,0.12457,2.09171,1.57461,1.69262,0.00102416,0.00102416,0.00102416
75,282.522,1.76186,1.26911,1.41049,0.3728,0.34261,0.31017,0.12229,2.07671,1.58069,1.71198,0.00102106,0.00102106,0.00102106
76,286.304,1.73082,1.25231,1.39463,0.34396,0.27685,0.26583,0.09853,2.16961,1.6797,1.79193,0.00101797,0.00101797,0.00101797
77,289.919,1.71912,1.25738,1.40373,0.38796,0.2609,0.25042,0.10359,2.1699,1.78083,1.7486,0.00101488,0.00101488,0.00101488
78,293.63,1.70721,1.22573,1.39163,0.53468,0.29345,0.3429,0.14476,2.06266,1.6244,1.66666,0.00101178,0.00101178,0.00101178
79,297.368,1.73921,1.222,1.38486,0.31257,0.32573,0.25953,0.09657,2.31567,1.79483,1.83885,0.00100869,0.00100869,0.00100869
80,301.145,1.73208,1.24344,1.37945,0.3727,0.38338,0.30978,0.1135,2.04736,1.52942,1.66919,0.00100559,0.00100559,0.00100559
81,304.663,1.68035,1.23126,1.3846,0.31288,0.37405,0.30016,0.11244,2.13092,1.57988,1.70179,0.0010025,0.0010025,0.0010025
82,308.272,1.68619,1.20944,1.38983,0.53458,0.27012,0.28401,0.10696,2.13151,1.66292,1.71578,0.000999406,0.000999406,0.000999406
83,312.069,1.70235,1.20631,1.39484,0.31534,0.35484,0.30041,0.11293,2.09539,1.59729,1.70711,0.000996313,0.000996313,0.000996313
84,315.751,1.72666,1.17179,1.37318,0.28397,0.3661,0.30078,0.11564,2.0963,1.59091,1.70503,0.000993219,0.000993219,0.000993219
85,319.418,1.70352,1.17617,1.36566,0.41312,0.33111,0.32079,0.12155,2.06446,1.56496,1.68155,0.000990125,0.000990125,0.000990125
86,322.955,1.63938,1.15901,1.35418,0.41273,0.29228,0.29528,0.12344,2.07525,1.626,1.68239,0.000987031,0.000987031,0.000987031
